Code Station,N° article,mean,std,CV,Segment
ST0026,A0001,74100.0,27061.574484115346,0.3652034343335404,Modere
ST0026,A0002,19627.118644067796,6682.190186800837,0.340457012971718,Modere
ST0027,A0001,14166.666666666666,10238.295514169386,0.7227032127648978,Erratique
ST0027,A0002,30240.0,21822.62447038647,0.7216476346027272,Erratique
ST0028,A0001,9325.581395348838,5809.355878697732,0.6229483859950186,Erratique
ST0028,A0002,13750.0,10085.80211263929,0.7335128809192212,Erratique
ST0029,A0001,68769.23076923077,9912.851022012552,0.14414660322837045,Stable
ST0029,A0002,38846.153846153844,8679.59587857549,0.223435141428676,Stable
ST0030,A0001,16717.391304347828,12292.116793526675,0.7352891710041963,Erratique
ST0030,A0002,34229.166666666664,26146.26581965495,0.7638592570562615,Erratique
ST0031,A0001,53631.57894736842,18276.30684281881,0.34077510305550285,Modere
ST0031,A0002,25000.0,9393.364366277243,0.3757345746510897,Modere
ST0032,A0001,13619.047619047618,5877.722266968646,0.4315810056165789,Modere
ST0032,A0002,6125.0,1895.3604681821942,0.30944660705015414,Stable
ST0033,A0001,7833.333333333333,4323.999271157397,0.5519999069562634,Modere
ST0033,A0002,29076.923076923078,15887.424473786063,0.5463929051831186,Modere
ST0036,A0001,15769.23076923077,6071.159226949526,0.3850003412211894,Modere
ST0036,A0002,37857.142857142855,12966.567322613497,0.3425130990879037,Modere
ST0037,A0001,5760.0,3179.0984046843632,0.5519268063688131,Modere
ST0037,A0002,15263.157894736842,8082.96243032659,0.5295734006076042,Modere
ST0038,A0002,10625.0,3222.3180062391934,0.3032769888225123,Stable
ST0039,A0001,85586.20689655172,18496.1204872603,0.2161109968293911,Stable
ST0039,A0002,69379.31034482758,21472.81233773233,0.3094987861800386,Stable
ST0040,A0001,34000.0,10000.0,0.29411764705882354,Stable
ST0040,A0002,41111.11111111111,5883.120864907597,0.14310293995721182,Stable
ST0041,A0001,9294.117647058823,6706.011350668451,0.7215328668440738,Erratique
ST0041,A0002,22741.935483870966,15624.697846540872,0.6870434514081802,Erratique
ST0042,A0001,55508.47457627119,24740.984342860193,0.4457154431232828,Modere
ST0042,A0002,50050.0,18477.127408992328,0.36917337480504153,Modere
ST0043,A0001,21431.81818181818,15270.274707437058,0.7125048643979116,Erratique
ST0043,A0002,29659.090909090908,17573.689612491584,0.5925228681606358,Erratique
ST0044,A0002,20625.0,16155.993594708376,0.7833209015616183,Erratique
ST0045,A0001,5000.0,0.0,0.0,Stable
ST0045,A0002,16125.0,4486.08961123159,0.27820710767327694,Stable
ST0046,A0001,6250.0,2500.0,0.4,Modere
ST0046,A0002,38130.434782608696,22742.24013077885,0.5964327514343369,Erratique
ST0047,A0001,17064.516129032258,12055.249157859183,0.7064512739010108,Erratique
ST0047,A0002,43475.0,25905.140070095786,0.5958629113305529,Erratique
ST0049,A0001,15288.135593220339,6156.159930081882,0.4026756495286375,Modere
ST0049,A0002,15288.135593220339,5878.220606487891,0.38449558290774455,Modere
ST0050,A0001,10125.0,7368.042038307115,0.7277078556352706,Erratique
ST0050,A0002,20068.96551724138,8680.565462501187,0.43253676703184607,Modere
ST0051,A0001,41263.15789473684,17025.60850687105,0.4126104102430484,Modere
ST0051,A0002,31052.63157894737,8909.88018506875,0.28692834494289193,Stable
ST0052,A0001,18333.333333333332,9048.020041239224,0.4935283658857759,Modere
ST0052,A0002,22500.0,8215.838362577491,0.3651483716701107,Modere
