Station,Produit,N_commandes,Total_litres,Moyenne_mensuelle,Fréquence_jours,ADF_pvalue,Stationnaire,AIC,Modele_AR,Modele_I,Modele_MA,Modele_SAR,Modele_SI,Modele_SMA,Volume,Profil
ST0028,A0002,140,716000,10228.57142857143,15.309352517985612,0.47983063731330877,False,1475.557909506427,2,0,1,0,0,0,Faible,Standard
ST0029,A0001,319,2568000,67578.94736842105,3.5849056603773586,0.08940562220814546,False,840.5729095890969,1,0,0,1,0,0,Moyen,Standard
ST0029,A0002,186,1290000,33947.36842105263,6.1567567567567565,0.09161574357189345,False,789.3951001161263,0,1,1,0,0,0,Moyen,Standard
ST0030,A0001,103,952000,14875.0,18.91176470588235,0.010340471656977102,True,1385.0232143432709,0,0,0,0,0,0,Faible,Standard
ST0030,A0002,151,1974000,30843.75,12.84,0.00042808592046584914,True,1459.1587405574774,2,0,0,0,0,0,Moyen,Standard
ST0031,A0001,219,2073000,66870.96774193548,4.321100917431193,0.8427588907031949,False,649.263210956663,1,1,0,0,0,1,Moyen,Standard
ST0031,A0002,100,795000,25645.16129032258,9.484848484848484,0.5952792844975984,False,636.3196966553555,1,1,0,0,0,0,Faible,Standard
ST0032,A0001,62,372000,7294.117647058823,24.78688524590164,0.726569016883801,False,999.7173486923873,0,1,1,0,0,0,Très faible,Basse activité
ST0032,A0002,51,296000,5803.921568627451,30.46,0.0036661700815163647,True,1014.4757159547361,0,0,1,0,0,0,Très faible,Basse activité
ST0033,A0001,44,191000,7958.333333333333,16.093023255813954,5.9170142310314463e-05,True,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0033,A0002,51,746000,29840.0,14.6,9.41784623411284e-07,True,inf,1,0,1,1,0,0,Faible,Standard
ST0036,A0001,40,435000,16730.76923076923,19.82051282051282,0.000943382800766644,True,539.6263099079325,0,0,0,0,0,0,Très faible,Basse activité
ST0036,A0002,60,1325000,50961.53846153846,13.23728813559322,0.03895729128068874,True,603.1637122780419,1,0,0,0,0,0,Moyen,Standard
ST0037,A0001,58,252000,4000.0,33.578947368421055,0.17555621834317675,False,1202.6514952153957,0,1,1,0,0,0,Très faible,Basse activité
ST0037,A0002,88,834000,12636.363636363636,23.04597701149425,0.5872301076079399,False,1382.51917478853,0,1,2,0,0,0,Faible,Standard
